scenario,filter_id,node_id,node_size,mean_introgressed_windows,mean_introgressed_fraction,mean_tract_count,mean_tract_length
two_pulses,6,cube7_cluster0,4,3053.75,0.10179166666666667,27.0,112078.53992831541
one_pulse_desert,1,cube0_cluster0,12,4214.083333333333,0.14046944444444445,65.58333333333333,75813.08744707423
one_pulse_desert,1,cube1_cluster0,18,4497.833333333333,0.14992777777777777,65.0,80805.39711327247
one_pulse_desert,1,cube2_cluster0,17,4354.0,0.14513333333333336,65.52941176470588,77935.74136433969
one_pulse_desert,1,cube3_cluster0,17,4487.35294117647,0.14957843137254903,68.11764705882354,77462.81264554324
one_pulse_desert,1,cube4_cluster0,18,4565.722222222223,0.1521907407407407,65.22222222222223,81279.91237706086
one_pulse_desert,1,cube5_cluster0,21,4497.428571428572,0.14991428571428572,65.33333333333333,81534.87304852578
one_pulse_desert,1,cube6_cluster0,20,4479.55,0.14931833333333333,63.45,83573.51974074304
one_pulse_desert,1,cube7_cluster0,14,4477.428571428572,0.14924761904761902,63.714285714285715,83398.86921643198
one_pulse_desert,2,cube1_cluster0,27,4554.740740740741,0.1518246913580247,65.62962962962963,82247.5852295353
one_pulse_desert,2,cube2_cluster0,82,4447.475609756098,0.14824918699186992,65.26829268292683,80122.19784083594
one_pulse_desert,2,cube3_cluster0,43,4326.674418604651,0.14422248062015502,64.95348837209302,78576.40265574651
one_pulse_desert,3,cube0_cluster0,10,4707.6,0.15692,64.5,85452.55247340581
one_pulse_desert,3,cube1_cluster0,20,4699.2,0.15663999999999997,65.95,83372.68494287039
one_pulse_desert,3,cube2_cluster0,19,4420.894736842105,0.14736315789473683,64.94736842105263,79472.97249336157
one_pulse_desert,3,cube3_cluster0,27,4526.2962962962965,0.15087654320987656,66.37037037037037,79912.52031724056
one_pulse_desert,3,cube4_cluster0,29,4536.6551724137935,0.15122183908045977,65.6896551724138,81429.97385831446
one_pulse_desert,3,cube5_cluster0,20,4279.8,0.14265999999999998,65.3,78469.91048092025
one_pulse_desert,3,cube6_cluster0,18,4063.1111111111113,0.13543703703703702,63.72222222222222,75433.28300971139
one_pulse_desert,3,cube7_cluster0,12,3992.6666666666665,0.1330888888888889,63.0,74681.90905010469
one_pulse_desert,4,cube0_cluster0,2,3653.0,0.12176666666666666,59.0,71431.93220338982
one_pulse_desert,4,cube1_cluster0,22,3923.9545454545455,0.13079848484848483,63.54545454545455,74764.2949129881
one_pulse_desert,4,cube2_cluster0,30,4130.466666666666,0.1376822222222222,65.0,75056.23412014166
one_pulse_desert,4,cube3_cluster0,38,4458.8421052631575,0.14862807017543858,66.26315789473684,78894.61368734084
one_pulse_desert,4,cube4_cluster0,36,4710.5,0.15701666666666667,65.61111111111111,84002.43527786905
one_pulse_desert,4,cube5_cluster0,17,4936.588235294118,0.1645529411764706,66.11764705882354,86168.08999603296
one_pulse_desert,4,cube7_cluster0,2,5712.0,0.1904,72.5,93335.37710084033
one_pulse_desert,5,cube1_cluster0,16,4258.5625,0.14195208333333334,58.25,85439.08469106173
one_pulse_desert,5,cube2_cluster0,36,4356.638888888889,0.14522129629629627,60.666666666666664,84232.76263145327
one_pulse_desert,5,cube3_cluster0,34,4343.588235294118,0.1447862745098039,64.0,79985.47282012376
one_pulse_desert,5,cube4_cluster0,28,4532.535714285715,0.15108452380952378,67.5,77993.6224986514
one_pulse_desert,5,cube5_cluster0,18,4523.277777777777,0.15077592592592592,70.77777777777777,74486.85894644243
one_pulse_desert,5,cube6_cluster0,7,4858.571428571428,0.16195238095238093,75.57142857142857,75678.20137227062
one_pulse_desert,5,cube7_cluster0,3,4938.666666666667,0.16462222222222223,78.33333333333333,77202.57265779488
one_pulse_desert,6,cube0_cluster0,7,4147.142857142857,0.13823809523809524,72.57142857142857,67204.8527597415
one_pulse_desert,6,cube1_cluster0,22,4198.318181818182,0.1399439393939394,68.54545454545455,70726.9270111797
one_pulse_desert,6,cube2_cluster0,30,4253.633333333333,0.14178777777777773,66.83333333333333,75281.20428163887
one_pulse_desert,6,cube3_cluster0,32,4409.375,0.14697916666666666,65.5,79729.22155998758
one_pulse_desert,6,cube4_cluster0,25,4561.8,0.15206,62.48,84808.70687042148
one_pulse_desert,6,cube5_cluster0,14,4821.714285714285,0.16072380952380952,63.214285714285715,89547.82221100222
one_pulse_desert,6,cube6_cluster0,10,4829.7,0.16099,59.6,94116.22406868529
one_pulse_desert,6,cube7_cluster0,4,5083.0,0.16943333333333332,61.0,97635.2825013993
